pwsid,pwsname,fips,location_state_name,location_state_abbrev,primacytype,primacyagency,eparegion,primarysource,populationservedcount,serviceconnectionscount,pwstype
"IL0435350","IL AMERICAN-COUNTRY CLUB",17043,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1149,387,"Community water system"
"IL0435500","GLEN ELLYN HEIGHTS SUBDIVISION",17043,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",2267,494,"Community water system"
"IL0435560","HIGHLAND HILLS SD",17043,"Illinois","IL","State","Illinois","Region 5","Ground water",1071,357,"Community water system"
"IL0435600","LIBERTY PARK HOMEOWNERS ASSOCIATION",17043,"Illinois","IL","State","Illinois","Region 5","Ground water",837,365,"Community water system"
"IL0435650","IL AMERICAN-LIBERTY RIDGE WEST",17043,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",3115,1246,"Community water system"
"IL0435700","IL AMERICAN-LOMBARD HEIGHTS",17043,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",732,244,"Community water system"
"IL0435850","NORTH REGIONAL WATER FAC",17043,"Illinois","IL","State","Illinois","Region 5","Ground water",693,297,"Community water system"
"IL0437160","STEEPLE RUN SBDV",17043,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1975,657,"Community water system"
"IL0437350","IL AMERICAN-VALLEY VIEW",17043,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",7491,2497,"Community water system"
"IL0450100","CHRISMAN",17045,"Illinois","IL","State","Illinois","Region 5","Ground water",1200,615,"Community water system"
"IL0450200","KANSAS",17045,"Illinois","IL","State","Illinois","Region 5","Ground water",900,352,"Community water system"
"IL0450300","PARIS",17045,"Illinois","IL","State","Illinois","Region 5","Ground water",9077,4115,"Community water system"
"IL0470010","ELLERY WATER CORP",17047,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",1994,920,"Community water system"
"IL0470050","ALBION",17185,"Illinois","IL","State","Illinois","Region 5","Ground water",3038,1340,"Community water system"
"IL0470200","WEST SALEM",17047,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",923,450,"Community water system"
"IL0490050","ALTAMONT",17049,"Illinois","IL","State","Illinois","Region 5","Surface water",2300,1100,"Community water system"
"IL0490100","BEECHER CITY",17173,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",543,285,"Community water system"
"IL0490150","DIETERICH",17049,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",600,286,"Community water system"
"IL0490250","EFFINGHAM",17049,"Illinois","IL","State","Illinois","Region 5","Surface water",12384,5136,"Community water system"
"IL0490450","TEUTOPOLIS",17035,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1599,748,"Community water system"
"IL0490500","WATSON",17049,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",750,289,"Community water system"
"IL0495150","LAKE SARA AREA WATER CO-OP, INC.",17049,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",3000,1140,"Community water system"
"IL0495200","HEARTVILLE PWD",17049,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",900,416,"Community water system"
"IL0510010","FAYETTE WATER COMPANY",17051,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",5025,1123,"Community water system"
"IL0510100","BROWNSTOWN",17051,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",755,355,"Community water system"
"IL0510150","FARINA",17051,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",600,270,"Community water system"
"IL0510200","RAMSEY",17051,"Illinois","IL","State","Illinois","Region 5","Ground water",1056,520,"Community water system"
"IL0510250","ST ELMO",17051,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",1483,655,"Community water system"
"IL0510350","VANDALIA",17051,"Illinois","IL","State","Illinois","Region 5","Surface water",6975,2620,"Community water system"
"IL0515500","VANDALIA CORRECTIONAL CENTER",17051,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1950,1,"Community water system"
"IL0530100","GIBSON CITY",17053,"Illinois","IL","State","Illinois","Region 5","Ground water",3500,1668,"Community water system"
"IL0530250","PAXTON",17053,"Illinois","IL","State","Illinois","Region 5","Ground water",4500,2200,"Community water system"
"IL0530300","PIPER CITY",17053,"Illinois","IL","State","Illinois","Region 5","Ground water",875,350,"Community water system"
"IL0550050","BENTON",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",8538,3599,"Community water system"
"IL0550100","BUCKNER",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",550,261,"Community water system"
"IL0550150","CHRISTOPHER",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",2772,1400,"Community water system"
"IL0550250","HANAFORD",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",912,375,"Community water system"
"IL0550300","NORTH CITY",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",852,344,"Community water system"
"IL0550450","SESSER",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",2701,1168,"Community water system"
"IL0550500","THOMPSONVILLE",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",543,272,"Community water system"
"IL0550600","VALIER",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1332,528,"Community water system"
"IL0550650","WEST CITY",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",669,399,"Community water system"
"IL0550700","WEST FRANKFORT",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",9612,4200,"Community water system"
"IL0550750","ZEIGLER",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",2100,847,"Community water system"
"IL0555030","ROYALTON",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1203,535,"Community water system"
"IL0555100","REND LAKE INTER-CITY WATER SYSTEM",17157,"Illinois","IL","State","Illinois","Region 5","Surface water",3172,1237,"Community water system"
"IL0555120","AKIN WATER DISTRICT",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",2158,830,"Community water system"
"IL0555200","GREENWOOD-CREEK NATION WATER COMPANY",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",2527,972,"Community water system"
"IL0555350","EWING-INA WATER COMMISSION",17055,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",2090,804,"Community water system"
"IL0570010","SOUTH FULTON WATER DISTRICT",17057,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",1400,560,"Community water system"
"IL0570040","WEE-MA-TUK WATER DISTRICT",17057,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",595,251,"Community water system"
"IL0570050","ASTORIA",17169,"Illinois","IL","State","Illinois","Region 5","Ground water",1322,650,"Community water system"
"IL0570100","AVON",17057,"Illinois","IL","State","Illinois","Region 5","Ground water",900,413,"Community water system"
"IL0570250","CANTON",17057,"Illinois","IL","State","Illinois","Region 5","Groundwater under influence of surface water",13932,5770,"Community water system"
"IL0570300","CUBA",17057,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1296,625,"Community water system"
"IL0570450","FAIRVIEW",17057,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",522,240,"Community water system"
"IL0570500","FARMINGTON",17057,"Illinois","IL","State","Illinois","Region 5","Ground water",2448,1200,"Community water system"
"IL0570600","LEWISTOWN",17057,"Illinois","IL","State","Illinois","Region 5","Ground water",2400,1280,"Community water system"
"IL0570950","VERMONT",17109,"Illinois","IL","State","Illinois","Region 5","Surface water",660,323,"Community water system"
"IL0574620","LONDON MILLS",17057,"Illinois","IL","State","Illinois","Region 5","Ground water",500,190,"Community water system"
"IL0575150","DUNFERMLINE-ST DAVID WATER COMMISSION",17057,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",850,528,"Community water system"
"IL0590050","EQUALITY",17059,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",738,360,"Community water system"
"IL0590300","RIDGWAY",17059,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",892,483,"Community water system"
"IL0590350","SHAWNEETOWN",17059,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",1239,500,"Community water system"
"IL0595100","GALLATIN-WHITE WATER DISTRICT",17059,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",1420,546,"Community water system"
"IL0610020","GREENE COUNTY RWD",17061,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",2755,1060,"Community water system"
"IL0610050","CARROLLTON",17061,"Illinois","IL","State","Illinois","Region 5","Ground water",2680,1189,"Community water system"
"IL0610150","GREENFIELD",17061,"Illinois","IL","State","Illinois","Region 5","Surface water",1200,560,"Community water system"
"IL0610250","KANE",17061,"Illinois","IL","State","Illinois","Region 5","Ground water",500,197,"Community water system"
"IL0610350","ROODHOUSE",17171,"Illinois","IL","State","Illinois","Region 5","Ground water",2052,876,"Community water system"
"IL0610400","WHITE HALL",17061,"Illinois","IL","State","Illinois","Region 5","Ground water",2900,1114,"Community water system"
"IL0630050","BRACEVILLE",17063,"Illinois","IL","State","Illinois","Region 5","Ground water",900,322,"Community water system"
"IL0630200","COAL CITY",17063,"Illinois","IL","State","Illinois","Region 5","Ground water",5587,2330,"Community water system"
"IL0630250","DIAMOND",17063,"Illinois","IL","State","Illinois","Region 5","Ground water",2200,880,"Community water system"
"IL0630400","GARDNER",17063,"Illinois","IL","State","Illinois","Region 5","Ground water",1406,587,"Community water system"
"IL0630500","MAZON",17063,"Illinois","IL","State","Illinois","Region 5","Ground water",1015,464,"Community water system"
"IL0630550","MINOOKA",17063,"Illinois","IL","State","Illinois","Region 5","Ground water",10924,4200,"Community water system"
"IL0630600","MORRIS",17063,"Illinois","IL","State","Illinois","Region 5","Ground water",13926,5259,"Community water system"
"IL0630650","SOUTH WILMINGTON",17063,"Illinois","IL","State","Illinois","Region 5","Ground water",681,323,"Community water system"
"IL0635225","SHADY OAKS MHP",17063,"Illinois","IL","State","Illinois","Region 5","Ground water",912,365,"Community water system"
"IL0650150","DAHLGREN",17065,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",866,366,"Community water system"
"IL0650200","MC LEANSBORO",17065,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",3252,1550,"Community water system"
"IL0651000","HAMILTON COUNTY WATER DISTRICT",17065,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",3835,1475,"Community water system"
"IL0670050","AUGUSTA",17067,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",587,331,"Community water system"
"IL0670250","CARTHAGE",17067,"Illinois","IL","State","Illinois","Region 5","Surface water",2605,1345,"Community water system"
"IL0670400","HAMILTON",17067,"Illinois","IL","State","Illinois","Region 5","Surface water",2951,1331,"Community water system"
"IL0670450","LAHARPE",17067,"Illinois","IL","State","Illinois","Region 5","Surface water",1235,630,"Community water system"
"IL0670500","NAUVOO",17067,"Illinois","IL","State","Illinois","Region 5","Surface water",1737,668,"Community water system"
"IL0670550","PLYMOUTH",17067,"Illinois","IL","State","Illinois","Region 5","Ground water",505,240,"Community water system"
"IL0670650","WARSAW",17067,"Illinois","IL","State","Illinois","Region 5","Surface water",1607,805,"Community water system"
"IL0674300","DALLAS CITY",17067,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",945,522,"Community water system"
"IL0690020","IL AMERICAN-HARDIN COUNTY",17059,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",1329,511,"Community water system"
"IL0690150","ROSICLARE",17069,"Illinois","IL","State","Illinois","Region 5","Ground water",1423,558,"Community water system"
"IL0695000","HARDIN COUNTY WATER DISTRICT NO.1",17069,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",871,335,"Community water system"
"IL0710010","DALLAS RURAL WATER DISTRICT",17071,"Illinois","IL","State","Illinois","Region 5","Ground water",6125,2450,"Community water system"
"IL0710300","OQUAWKA",17071,"Illinois","IL","State","Illinois","Region 5","Ground water",1500,660,"Community water system"
"IL0710400","STRONGHURST",17071,"Illinois","IL","State","Illinois","Region 5","Ground water",950,380,"Community water system"
"IL0730050","ALPHA",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",750,358,"Community water system"
"IL0730100","ANDOVER",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",600,248,"Community water system"
"IL0730150","ANNAWAN",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",850,420,"Community water system"
"IL0730200","ATKINSON",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",972,492,"Community water system"
"IL0730300","CAMBRIDGE",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",2108,927,"Community water system"
"IL0730400","COLONA EAST",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",2600,997,"Community water system"
"IL0730450","GALVA",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",2700,1292,"Community water system"
"IL0730500","GENESEO",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",6500,3580,"Community water system"
"IL0730550","COLONA WEST",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",2600,928,"Community water system"
"IL0730650","KEWANEE",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",12950,5500,"Community water system"
"IL0730700","ORION",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",1821,790,"Community water system"
"IL0730750","WOODHULL",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",809,415,"Community water system"
"IL0735300","SUNNY HILL ESTATES SUBDIVISION",17073,"Illinois","IL","State","Illinois","Region 5","Ground water",525,150,"Community water system"
"IL0750050","ASHKUM",17075,"Illinois","IL","State","Illinois","Region 5","Ground water",724,320,"Community water system"
"IL0750150","BUCKLEY",17075,"Illinois","IL","State","Illinois","Region 5","Ground water",600,311,"Community water system"
"IL0750200","CISSNA PARK",17075,"Illinois","IL","State","Illinois","Region 5","Ground water",825,435,"Community water system"
"IL0750250","CLIFTON",17075,"Illinois","IL","State","Illinois","Region 5","Ground water",1468,520,"Community water system"
"IL0750300","CRESCENT CITY",17075,"Illinois","IL","State","Illinois","Region 5","Ground water",630,265,"Community water system"
"IL0750350","DANFORTH",17075,"Illinois","IL","State","Illinois","Region 5","Ground water",550,215,"Community water system"
"IL0750450","GILMAN",17075,"Illinois","IL","State","Illinois","Region 5","Ground water",1793,900,"Community water system"
"IL0750650","MILFORD",17075,"Illinois","IL","State","Illinois","Region 5","Ground water",1369,650,"Community water system"
"IL0750700","ONARGA",17075,"Illinois","IL","State","Illinois","Region 5","Ground water",1409,555,"Community water system"
"IL0750800","SHELDON",17075,"Illinois","IL","State","Illinois","Region 5","Ground water",1232,525,"Community water system"
"IL0750900","WATSEKA",17075,"Illinois","IL","State","Illinois","Region 5","Ground water",5500,2500,"Community water system"
"IL0754240","CHEBANSE",17091,"Illinois","IL","State","Illinois","Region 5","Ground water",1200,488,"Community water system"
"IL0755200","LAKE IROQUOIS ASSOCIATION",17075,"Illinois","IL","State","Illinois","Region 5","Ground water",500,235,"Community water system"
"IL0770010","ELVERADO WATER DISTRICT",17077,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",767,295,"Community water system"
"IL0770050","AVA",17077,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1166,506,"Community water system"
"IL0770150","CARBONDALE",17077,"Illinois","IL","State","Illinois","Region 5","Surface water",26162,7928,"Community water system"
"IL0770200","DE SOTO",17077,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",2523,887,"Community water system"
"IL0770250","DOWELL",17145,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1248,498,"Community water system"
"IL0770300","ELKVILLE",17077,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1164,482,"Community water system"
"IL0770350","GORHAM",17077,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1050,427,"Community water system"
"IL0770400","GRAND TOWER",17165,"Illinois","IL","State","Illinois","Region 5","Ground water",683,323,"Community water system"
"IL0770500","MURPHYSBORO",17077,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",11243,5437,"Community water system"
"IL0770550","VERGENNES",17077,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",740,298,"Community water system"
"IL0775150","LAKESIDE PWD",17077,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",2506,964,"Community water system"
"IL0775200","MURDALE PWD",17077,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",4992,1920,"Community water system"
"IL0775250","ORAVILLE WATER DISTRICT",17077,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1105,425,"Community water system"
"IL0775400","SOUTH HIGHWAY PWD",17077,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",4789,1842,"Community water system"
"IL0775420","BUNCOMBE WATER DISTRICT",17077,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1059,407,"Community water system"
"IL0790010","E J WATER COOP",17079,"Illinois","IL","State","Illinois","Region 5","Surface water",21043,5750,"Community water system"
"IL0790100","NEWTON",17079,"Illinois","IL","State","Illinois","Region 5","Ground water",2849,1698,"Community water system"
"IL0810010","NORTHEAST MOUNT VERNON WATER COMPANY",17081,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",5532,2128,"Community water system"
"IL0810050","BELLE RIVE",17081,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",2040,844,"Community water system"
"IL0810100","BLUFORD",17081,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1988,750,"Community water system"
"IL0810150","BONNIE",17081,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",527,226,"Community water system"
"IL0810300","MOUNT VERNON",17081,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",15277,6264,"Community water system"
"IL0810400","WALTONVILLE",17081,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1760,770,"Community water system"
"IL0810450","WOODLAWN",17081,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",3462,1363,"Community water system"
"IL0815100","DIX-KELL WATER COMMSSION",17081,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1863,747,"Community water system"
"IL0830250","JERSEYVILLE",17083,"Illinois","IL","State","Illinois","Region 5","Ground water",11500,4200,"Community water system"
"IL0835300","JERSEY RWC",17119,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",16540,4900,"Community water system"
"IL0850100","EAST DUBUQUE",17085,"Illinois","IL","State","Illinois","Region 5","Ground water",2000,1012,"Community water system"
"IL0850150","ELIZABETH",17085,"Illinois","IL","State","Illinois","Region 5","Ground water",675,385,"Community water system"
"IL0850200","GALENA",17085,"Illinois","IL","State","Illinois","Region 5","Ground water",3460,1980,"Community water system"
"IL0850250","HANOVER",17085,"Illinois","IL","State","Illinois","Region 5","Ground water",830,445,"Community water system"
"IL0850450","STOCKTON",17085,"Illinois","IL","State","Illinois","Region 5","Ground water",1926,870,"Community water system"
"IL0850500","WARREN",17085,"Illinois","IL","State","Illinois","Region 5","Ground water",1500,712,"Community water system"
"IL0855050","UTL INC-GALENA TERRITORY",17085,"Illinois","IL","State","Illinois","Region 5","Ground water",600,2061,"Community water system"
"IL0855150","UTL INC-APPLE CANYON UTILITIES COMPANY",17085,"Illinois","IL","State","Illinois","Region 5","Ground water",700,830,"Community water system"
"IL0855200","BAHL WATER CORP",17085,"Illinois","IL","State","Illinois","Region 5","Ground water",700,245,"Community water system"
"IL0870050","BELKNAP",17087,"Illinois","IL","State","Illinois","Region 5","Ground water",530,275,"Community water system"
"IL0870200","GOREVILLE",17087,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1049,480,"Community water system"
"IL0870350","VIENNA",17087,"Illinois","IL","State","Illinois","Region 5","Surface water",1697,719,"Community water system"
"IL0875050","BURNSIDE PWD",17199,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",2899,1115,"Community water system"
"IL0875510","VIENNA CORRECTIONAL CENTER",17087,"Illinois","IL","State","Illinois","Region 5","Surface water",3665,1,"Community water system"
"IL0890040","SILVER GLEN HOMEOWNER'S ASSOCIATION",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",595,170,"Community water system"
"IL0890110","WASCO SD",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",3500,1036,"Community water system"
"IL0890120","MILL CREEK WATER RECLAMATION DISTRICT",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",7500,2060,"Community water system"
"IL0890150","BURLINGTON",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",633,215,"Community water system"
"IL0890160","PINGREE GROVE",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",4532,1758,"Community water system"
"IL0890200","CARPENTERSVILLE",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",38196,10499,"Community water system"
"IL0890250","EAST DUNDEE",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",2860,1396,"Community water system"
"IL0890300","ELBURN",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",5060,2050,"Community water system"
"IL0890350","GENEVA",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",21495,10133,"Community water system"
"IL0890400","GILBERTS",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",6158,1877,"Community water system"
"IL0890450","HAMPSHIRE",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",5563,2365,"Community water system"
"IL0890500","MAPLE PARK",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",1310,524,"Community water system"
"IL0890600","NORTH AURORA",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",17000,5978,"Community water system"
"IL0890750","SLEEPY HOLLOW",17089,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",3100,1015,"Community water system"
"IL0890800","SOUTH ELGIN",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",21985,7584,"Community water system"
"IL0890850","SUGAR GROVE",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",10962,4127,"Community water system"
"IL0890950","WEST DUNDEE",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",7331,2360,"Community water system"
"IL0894070","AURORA",17089,"Illinois","IL","State","Illinois","Region 5","Surface water",199000,48035,"Community water system"
"IL0894130","BATAVIA",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",26000,9300,"Community water system"
"IL0894380","ELGIN",17089,"Illinois","IL","State","Illinois","Region 5","Surface water",108188,31898,"Community water system"
"IL0894690","MONTGOMERY",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",27122,9063,"Community water system"
"IL0894830","ST CHARLES",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",33264,24860,"Community water system"
"IL0895030","FRWRD-SKYLINE PLANT",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",950,294,"Community water system"
"IL0895200","UTL INC-LAKE MARIAN WATER CORPORATION",17089,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",858,293,"Community water system"
"IL0895300","AQUA ILLINOIS-MOECHERVILLE",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",920,368,"Community water system"
"IL0895319","MOOSEHEART",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",600,100,"Community water system"
"IL0895800","UTL INC-FERSON CREEK UTILITIES CORP",17089,"Illinois","IL","State","Illinois","Region 5","Ground water",1134,379,"Community water system"
"IL0910020","LAKE SHANNON",17091,"Illinois","IL","State","Illinois","Region 5","Groundwater under influence of surface water",500,187,"Community water system"
"IL0910040","HOPKINS PARK",17091,"Illinois","IL","State","Illinois","Region 5","Ground water",603,247,"Community water system"
"IL0910450","HERSCHER",17091,"Illinois","IL","State","Illinois","Region 5","Ground water",1591,621,"Community water system"
"IL0910650","MOMENCE",17091,"Illinois","IL","State","Illinois","Region 5","Ground water",3063,1429,"Community water system"
"IL0910700","ST ANNE",17091,"Illinois","IL","State","Illinois","Region 5","Ground water",1212,549,"Community water system"
"IL0915030","AQUA ILLINOIS-KANKAKEE",17091,"Illinois","IL","State","Illinois","Region 5","Surface water",78738,28440,"Community water system"
"IL0930100","NEWARK",17093,"Illinois","IL","State","Illinois","Region 5","Ground water",992,388,"Community water system"
"IL0930150","OSWEGO",17093,"Illinois","IL","State","Illinois","Region 5","Ground water",31400,10823,"Community water system"
"IL0930200","PLANO",17093,"Illinois","IL","State","Illinois","Region 5","Ground water",10693,3892,"Community water system"
"IL0930250","YORKVILLE",17093,"Illinois","IL","State","Illinois","Region 5","Ground water",18000,6094,"Community water system"
"IL0935100","IL AMERICAN-VALLEY MARINA",17093,"Illinois","IL","State","Illinois","Region 5","Ground water",1260,421,"Community water system"
"IL0950050","ABINGDON",17095,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",3654,1454,"Community water system"
"IL0950100","ALTONA",17095,"Illinois","IL","State","Illinois","Region 5","Ground water",531,254,"Community water system"
"IL0950150","EAST GALESBURG",17095,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",850,354,"Community water system"
"IL0950200","GALESBURG",17095,"Illinois","IL","State","Illinois","Region 5","Ground water",31745,12550,"Community water system"
"IL0950300","KNOXVILLE",17095,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",3183,1320,"Community water system"
"IL0950400","ONEIDA",17095,"Illinois","IL","State","Illinois","Region 5","Ground water",750,280,"Community water system"
"IL0950600","WATAGA",17095,"Illinois","IL","State","Illinois","Region 5","Ground water",843,390,"Community water system"
"IL0950650","WILLIAMSFIELD",17095,"Illinois","IL","State","Illinois","Region 5","Ground water",625,275,"Community water system"
"IL0950700","YATES CITY",17095,"Illinois","IL","State","Illinois","Region 5","Ground water",750,333,"Community water system"
"IL0955200","AQUA ILLINOIS-OAK RUN",17095,"Illinois","IL","State","Illinois","Region 5","Ground water",1800,732,"Community water system"
"IL0970040","GREEN OAKS",17097,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1470,490,"Community water system"
"IL0970050","ANTIOCH",17097,"Illinois","IL","State","Illinois","Region 5","Ground water",14430,4693,"Community water system"
"IL0970080","WYNSTONE WATER COMPANY",17097,"Illinois","IL","State","Illinois","Region 5","Ground water",1421,441,"Community water system"
"IL0970100","BANNOCKBURN",17091,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",1583,510,"Community water system"
"IL0970110","ROCKWELL UTILITIES, LLC",17097,"Illinois","IL","State","Illinois","Region 5","Ground water",1762,241,"Community water system"
"IL0970120","SADDLEBROOK FARMS",17097,"Illinois","IL","State","Illinois","Region 5","Ground water",2095,2782,"Community water system"
"IL0970180","AQUA ILLINOIS-IVANHOE",17097,"Illinois","IL","State","Illinois","Region 5","Ground water",849,289,"Community water system"
"IL0970190","BEACH PARK",17097,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",3963,1321,"Community water system"
"IL0970200","FOX LAKE",17097,"Illinois","IL","State","Illinois","Region 5","Ground water",8600,2546,"Community water system"
"IL0970250","GRAYSLAKE",17097,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",20973,6960,"Community water system"
"IL0970260","ROUND LAKE HEIGHTS",17097,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",2773,813,"Community water system"
"IL0970270","LAKEMOOR",17097,"Illinois","IL","State","Illinois","Region 5","Ground water",2433,938,"Community water system"
"IL0970280","BROOKS FARM SUBDIVISION - LAKE COUNTY PW",17097,"Illinois","IL","State","Illinois","Region 5","Ground water",1563,521,"Community water system"
"IL0970350","GURNEE",17097,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",31295,9695,"Community water system"
"IL0970400","HAINESVILLE",17097,"Illinois","IL","State","Illinois","Region 5","Ground water",3444,875,"Community water system"
"IL0970450","LAKE COUNTY PW- HAWTHORN WOODS",17097,"Illinois","IL","State","Illinois","Region 5","Ground water purchased",672,224,"Community water system"
"IL0970500","HIGHLAND PARK",17097,"Illinois","IL","State","Illinois","Region 5","Surface water",29763,10184,"Community water system"
"IL0970550","HIGHWOOD",17097,"Illinois","IL","State","Illinois","Region 5","Surface water",5400,1150,"Community water system"
"IL0970750","LAKE BLUFF",17097,"Illinois","IL","State","Illinois","Region 5","Surface water purchased",5722,2056,"Community water system"
"IL0970800","LAKE FOREST",17097,"Illinois","IL","State","Illinois","Region 5","Surface water",19375,6772,"Community water system"
